algorithm,similes,property,value
constant-0,CCCN(CCC)c1cc(C)nc2c(-c3c(C)cc(N(C)C)nc3C)c(C)nn12,diff_routes,0.0
constant-0,CC(=O)N1CCN(C)CC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)[nH]1,diff_routes,0.0
constant-0,N#CCn1c2ccccc2c2nc3nonc3nc21,diff_routes,0.0
constant-0,CC(C)N(C)Cc1ncn2c1CN(CC(=O)N(C)C)CCC2,diff_routes,0.0
constant-0,O=c1nc(N(c2ccccc2)c2ccccc2)[nH]c(=O)[nH]1,diff_routes,0.0
constant-0,COCCN(C)CCN1CC2(CCN(C3CCCNC3)CC2)OC1=O,diff_routes,0.0
constant-0,O=C(NCC(NS(=O)(=O)c1ccccc1)C(=O)O)c1cc2cc(OCC3CCNCC3)ccc2n1Cc1ccccc1,diff_routes,0.0
constant-0,COc1cc2c(cc1OC)C1Cc3ncncc3C(=O)N1CC2,diff_routes,0.0
constant-0,CCOC(=O)c1c(C)cc2c(CO)nnc(O)c2c1C,diff_routes,0.0
constant-0,O=C1C=CCC(C=Cc2ccccc2)N1,diff_routes,0.0
constant-0,CCN(C)CCc1cccc(OC2Cc3cc(OC)c(OC)cc3C2=O)c1,diff_routes,0.0
constant-0,CNC1CCc2ccc(-c3cc(O)c4cc(-c5cnco5)c(OC)cc4n3)cc21,diff_routes,0.0
constant-0,Cc1ccccc1Cc1cccc(N=C(N)Nc2ccc(Cl)cc2)n1,diff_routes,0.0
constant-0,COc1cccc(C(C#N)NC23CC4CC(CC(C4)C2)C3)c1,diff_routes,0.0
constant-0,O=C(NCc1ccco1)C1Cc2c(-c3ccccc3Oc3ccccc3)ccnc2O1,diff_routes,0.0
constant-0,CCn1c(C2CCCN(Cc3cc(OC)cc(OC)c3)C2)nn(C)c1=O,diff_routes,0.0
constant-0,N#Cc1cnn2c(Nc3ccccc3)nc(N3CCc4ccccc4C3)nc12,diff_routes,0.0
constant-0,CC(NC(=O)OC(C)(C)C)C(=O)N1CCN(c2ccnc3cc(Cl)ccc23)CCN(c2ccnc3cc(Cl)ccc23)CC1,diff_routes,0.0
constant-0,CCc1ccccc1Nc1noc2c1CN(C(=O)C1CCCO1)CC2,diff_routes,0.0
constant-0,O=C(C=Cc1ccc(Br)cc1)COc1c(-c2ccc(O)cc2)oc2cc(O)cc(O)c2c1=O,diff_routes,0.0
constant-0,CC(C)n1c(=O)[nH]n(-c2ccccc2)c1=O,diff_routes,0.0
constant-0,C#CCN1C(=O)COc2cc(F)c(-n3nnc4c(c(C(F)(F)F)nn4C)c3=O)cc21,diff_routes,0.0
constant-0,O=c1c(O)coc2cc(O)cc(O)c12,diff_routes,0.0
constant-0,O=C(CSc1nc2c(c(=O)[nH]1)CN(Cc1ccc(F)cc1)CC2)Nc1cccc(C(F)(F)F)c1,diff_routes,0.0
constant-0,CC(C)CCC1=C(N)C(=O)c2ccccc2C1=O,diff_routes,0.0
constant-0,O=C(c1ccccc1)C1CCN(C(=O)c2cc(Cc3nnc(O)c4c3NCCC4)ccc2F)CC1,diff_routes,0.0
constant-0,COCCCOc1cc(C(=O)N(CC2CNCC2NS(=O)(=O)c2ccc(OC)cc2)C(C)C)ccc1OC,diff_routes,0.0
constant-0,CCC1CCN(C)c2cc3nc(O)cc(C(F)(F)F)c3cc21,diff_routes,0.0
constant-0,COc1ccc(C=Nn2c(S)nnc2-c2cc(C)[nH]n2)cc1,diff_routes,0.0
constant-0,CC(C)C=C1CC(Cc2ccccc2)OC1=O,diff_routes,0.0
constant-0,COC(=O)C1Cc2c([nH]c3ncc(C)cc23)CN1,diff_routes,0.0
constant-0,CN1CC(c2c[nH]c3cc(-n4ccc(-c5ccc(Cl)cc5)cc4=O)ccc23)C1,diff_routes,0.0
constant-0,O=C1OCCN1CCNc1ccc2c3c1sc1ccccc1c3nn2CCNCCO,diff_routes,0.0
constant-0,COc1ccc(C(C)(NCC(O)c2ccc(O)c(NS(C)(=O)=O)c2)C(=O)Nc2ccccc2OC)cc1,diff_routes,0.0
constant-0,CCCCCC(O)c1c(O)cc2c(c1O)C(=O)c1c(O)cc(O)cc1C2=O,diff_routes,0.0
constant-0,CN1CCN(c2nc(N3CCC(N(C)C4(CO)CCCC4)CC3)c3c(-c4ccccc4)csc3n2)CC1,diff_routes,0.0
constant-0,O=S(=O)(O)c1cc(O)c(N=Nc2c(O)ccc3ccc(O)cc23)c2ccccc12,diff_routes,0.0
constant-0,CCc1cccc(CC)c1NC(=O)c1noc2c1CCCc1cnc(Nc3ccc(N4CCN(C)CC4)cc3OC)nc1-2,diff_routes,0.0
constant-0,Fc1ccc2c(c1)Sc1cnc3ccccc3c1N2,diff_routes,0.0
constant-0,COCc1nccn1CC1CC(c2ccccc2)(c2ccccc2)C(=O)O1,diff_routes,0.0
constant-0,Cc1ccccc1-n1nc(-c2c(-c3cccc(Cl)c3Cl)nc3ccccn23)ccc1=O,diff_routes,0.0
constant-0,O=C1Nc2cc(C(=O)C3CCCN3)ccc2C1=C(Nc1ccc(CN2CCCCC2)cc1)c1ccccc1,diff_routes,0.0
constant-0,FC(F)(F)c1cccc(Nc2ncnc3cc(OCCCN4CCOCC4)c4c(c23)OCCO4)c1,diff_routes,0.0
constant-0,COc1cc(C2c3cccc4cccc(c34)C3CCC(=O)N32)cc(O)c1O,diff_routes,0.0
constant-0,CCCNC(=O)c1cn2ncnc(Nc3cc(NC(=O)OC)ccc3C)c2c1C,diff_routes,0.0
constant-0,CN1CCC=C(C(=O)Cc2ccccc2)C1,diff_routes,0.0
constant-0,c1ccc2c(c1)Cc1c(-c3ccsc3)cc(-c3ccsc3)nc1-2,diff_routes,0.0
constant-0,Cc1cc(-n2[nH]c3c(cnc4cc(Cl)ccc43)c2=O)cs1,diff_routes,0.0
constant-0,CCc1nc2c(c(=O)c3ccccc3n2C)c(=O)n1C1CCCCCC1,diff_routes,0.0
