algorithm,similes,property,value
Tanimoto-distance,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3cccc4sccc34)C2SC1,sol_time,266.0
Tanimoto-distance,C=CCN(C(=O)CCC(=O)Nc1cc(C)on1)C(C(=O)NC1CCCC1)c1ccc(OC)c(OC)c1,sol_time,277.0
Tanimoto-distance,CC1(C)c2cc(OCC(O)CO)ccc2C(=O)c2c1[nH]c1c(C(=O)O)c(C#N)ccc21,sol_time,253.0
Tanimoto-distance,Cc1nc(C)c(CN2CCN(S(C)(=O)=O)CC2)nc1C,sol_time,252.0
Tanimoto-distance,O=S(=O)(c1ccc(F)cn1)N1C(CO)CCC1c1ccc(F)cc1,sol_time,256.0
Tanimoto-distance,CC(C)=CCCC(C)=CCCC(C)=CCCC1CCc2cc(O)c(C)c(C)c2O1,sol_time,487.0
Tanimoto-distance,O=S(=O)(NC(CO)C1CCNCC1)c1ccc(Cl)s1,sol_time,246.0
Tanimoto-distance,Cc1cc(Nc2cc(C(F)(F)F)ccn2)nc(-c2cnc(C3(N)CCCc4cc(C(=O)O)ccc43)s2)c1,sol_time,251.0
Tanimoto-distance,Cc1cc(C(=O)NC(CC(=O)NCC(C)(C)C)C(=O)NC(CCc2ccccc2)C(=O)NCc2ccccc2Cl)no1,sol_time,459.0
Tanimoto-distance,Cc1cccc(-c2csc3ncnc(Sc4nnnn4C)c23)c1,sol_time,257.0
Tanimoto-distance,N#Cc1ccc(NC2CNC(C(=O)N3CCCC3C#N)C2)cc1C#N,sol_time,301.0
Tanimoto-distance,CC(C)Oc1cccc(F)c1C1CC(F)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,sol_time,257.0
Tanimoto-distance,Cc1c(C(=O)C2CC2CN2CCC(N3CCCC3)CC2)sc2ccccc12,sol_time,232.0
Tanimoto-distance,CC(C)CCNC(=O)c1onc(CSc2ccccc2)c1C(=O)NCCC(C)C,sol_time,221.0
Tanimoto-distance,Oc1ccc2c(c1)CCN(Cc1ccc3c(c1)OCO3)C2c1ccc(OCCN2CCCC2)cc1,sol_time,237.0
Tanimoto-distance,N#Cc1c(N)ncnc1N1CCCC1c1nn2cccc2c(=O)n1-c1ccccc1,sol_time,248.0
Tanimoto-distance,CC(C)N(C)CC=CC(=O)N1CCc2sc3ncnc(Nc4ccc(Cl)c(Cl)c4)c3c2C1,sol_time,212.0
Tanimoto-distance,O=c1ccc2cnc3ccc(-c4cnc5ccccc5c4)cc3c2n1-c1ccc(S(=O)(=O)N2CCNCC2)cc1,sol_time,256.0
Tanimoto-distance,CCN(CC)CC(=O)Nc1ccc(O)c2c1C(=O)c1c(O)ccc(O)c1C2=O,sol_time,229.0
Tanimoto-distance,CCCCc1ncc(C=C2C(=O)N(CCCC)C(=O)N2CCc2ccccc2)n1Cc1ccc(C(=O)OC)cc1,sol_time,267.0
Tanimoto-distance,COC(=O)c1ccc(CN(CCCc2c(N)nc(N)nc2O)c2ccc([N+](=O)[O-])c(F)c2F)cc1,sol_time,247.0
Tanimoto-distance,NC(=O)NN=C1CCC(O)CC1CC(=O)O,sol_time,255.0
Tanimoto-distance,CCCCN1CCC(C(=O)CC)(c2cccc(O)c2)CC1,sol_time,218.0
Tanimoto-distance,CCN1C(=O)C(c2cccc(-c3cnn(C)c3)c2)C(=O)N(c2ccccc2)c2cc(C(F)(F)F)ccc21,sol_time,250.0
Tanimoto-distance,CCCc1c(C(=O)NCC(N)C(=O)O)[nH]c2cccc(Br)c12,sol_time,251.0
