smiles,n_iter,first_soln_time,lowest_cost_route_found,lowest_cost_route_(binned),best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree,is_purchasable,constant-0,Tanimoto-distance,Tanimoto-distance-NUM_NEIGHBORS_TO_1,Embedding-from-fingerprints
CCC(=O)NC1CCCc2c(-c3cc(Cl)c4c(c3)CCC(=O)N4C)cncc21,2168,37.0,13.945430265546758,013-014,9.499258379008037,7.0,2.0,64,8935,0.0,0.0,0.794701986754967,0.9995497185741088,0.047324172606876824
O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(C2CC2)cc1F,7582,-1.0,-1.0,NotSolved,20.58769200096695,-1.0,3.0,1000,101989,0.0,0.0,0.75,0.999624765478424,0.07066460601545865
c1ccc(-c2cc3cc(-c4ccncn4)c(-c4ccco4)nc3[nH]2)cc1,383,88.0,8.306310156372161,008-009,7.034253154051088,8.0,2.0,88,8999,0.0,0.0,0.6148148148148148,0.9997748592870545,0.07892556279644702
CCCCc1nc2c(N)nc3ccccc3c2n1CCCN(Cc1ccc(CC(=O)OC)cc1)C(=O)CS(C)(=O)=O,25,9.0,3.225189045592943,003-004,2.986495167267525,8.0,1.0,10,546,0.0,0.0,0.5337423312883436,0.9997748592870545,0.03811083274111615
CCC1Cc2cc(OCC(C)C)c(OC)cc2-c2cc(=O)c(C(=O)O)cn21,738,75.0,9.846142064078284,009-011,4.027871412161849,8.0,1.0,112,14227,0.0,0.0,0.7246376811594203,0.999624765478424,0.09555368416367105
CC(=O)c1cc2c(cc1Cl)NCC(C(=O)N1CCC(C#N)(Cc3ccc(F)cc3)CC1)O2,374,48.0,17.130936702322696,016-018,12.135423347939051,4.0,2.0,71,4235,0.0,0.0,0.7448275862068965,0.999624765478424,0.18164849830647145
Cc1cc(C)cc(-c2c(OCC[C@@H]3CCCCN3)c3cc(NC(=O)NC4CC4)c(Cl)cc3[nH]c2=O)c1,9999,-1.0,-1.0,NotSolved,10.399247836635483,-1.0,2.0,415,106606,0.0,0.0,0.772972972972973,0.9995497185741088,0.02449363086410028
CC(C)c1ccc2c(Nc3cc(C(=O)O)ccc3Sc3ccc(NC(=O)OC(C)(C)C)cc3)ncnc2c1,37,11.0,5.642920728262353,004-006,3.841828156566761,8.0,1.0,11,625,0.0,0.0,0.6544117647058824,0.9996998123827392,0.046053022782361785
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2(C#N)C3CC4CC(C3)CC2C4)cc1F,9999,-1.0,-1.0,NotSolved,13.813516995786182,-1.0,2.0,351,104091,0.0,0.0,0.6985294117647058,0.999624765478424,0.04557559212566287
COc1c(N2CCN(C(=O)COC(C)=O)CC2)cc(Br)cc1C(C)(C)C,38,7.0,10.462594563554717,009-011,9.347464597263684,3.0,1.0,15,1091,0.0,0.0,0.6754385964912281,0.9996998123827392,0.1367544153860264
CC(=O)Nc1c(-c2ccc3c(c2OC2CCC2)CC[C@H](C)N3C(=O)C2CC2)cnn1C1CC1,2348,114.0,15.47019357654628,014-016,10.772191508142706,8.0,2.0,146,18642,0.0,0.0,0.6470588235294117,0.999624765478424,0.10284089625467807
CCC(C)(C)Cc1c[nH]c(C(Cc2ccc(-c3cn(C)nc3N)cc2)NC(C)=O)n1,312,70.0,7.038836082559915,006-008,6.715769293674594,8.0,2.0,70,5336,0.0,0.0,0.747191011235955,0.999624765478424,0.05851042009104235
CN(C)CCNC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,29,14.0,4.0440613905829945,004-006,3.423006499817092,6.0,1.0,14,797,0.0,0.0,0.7018633540372671,0.9996998123827392,0.04258870989793362
Cn1cc(-c2ccc3c(ccn3CC3CCN(C(=O)CCc4ccccc4)CC3)c2)nn1,13,5.0,4.447125367209615,004-006,4.212002185160637,5.0,1.0,7,353,0.0,0.0,0.620253164556962,0.9997748592870545,0.036764371039729404
