smiles,n_iter,first_soln_time,lowest_cost_route_found,lowest_cost_route_(binned),best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree,is_purchasable,constant-0,Tanimoto-distance,Tanimoto-distance-TIMES10,Tanimoto-distance-EXP,Tanimoto-distance-SQRT,Tanimoto-distance-NUM_NEIGHBORS_TO_1,Tanimoto-distance-NUM_NEIGHBORS_TO_1_TIMES1000
CC(C)COc1ccccc1-c1ncc(-c2nnn[nH]2)c(=O)[nH]1,11,2.0,2.799488084336836,001-003,2.799488084336836,2.0,1.0,4,214,0.0,0.0,0.6754385964912281,6.754385964912281,0.9648945828768349,0.8218507142366113,0.000225140712945591,0.225140712945591
NCCCN1CCC2(CC1)CCN(c1ncnc3[nH]cc(Cl)c13)C2,33,13.0,5.440680489299097,004-006,3.340764521911062,4.0,1.0,14,1132,0.0,0.0,0.6982758620689655,6.982758620689655,1.0102837114169856,0.8356290217967334,0.000225140712945591,0.225140712945591
O=C(O)C(=O)Nc1ccc(C23CC4CC(CC(C4)C2)C3)cc1,11,3.0,3.2353957233022568,003-004,2.450831836559884,3.0,1.0,6,240,0.0,0.0,0.32558139534883723,3.2558139534883725,0.384835548921713,0.5705974021574557,7.5046904315197e-05,0.075046904315197
CCC=C1CCC(c2ccc(I)c(F)c2)CC1,79,20.0,8.802904411880363,008-009,5.344251620750035,4.0,1.0,24,1788,0.0,0.0,0.6630434782608696,6.630434782608696,0.9406898026670754,0.8142748174055671,0.000225140712945591,0.225140712945591
COCCNc1ncc2cc(Br)c(C)nc2n1,71,5.0,6.78329333318083,006-008,4.8737611757158,4.0,1.0,20,1720,0.0,0.0,0.7058823529411764,7.0588235294117645,1.0256332200586367,0.8401680504168059,0.000300187617260788,0.300187617260788
CCCCCNc1nc(N)nc(C)c1CCCN(Cc1cccc(CC(=O)OC)c1)S(C)(=O)=O,39,19.0,5.9962831316380525,004-006,5.3583601920221176,6.0,1.0,19,966,0.0,0.0,0.7032258064516129,7.032258064516129,1.0202591726026933,0.8385855987623523,0.000225140712945591,0.225140712945591
Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc2c(=O)n(CC3CC3)cc(CN3CCN[C@@H](C)C3)c2c1,9,5.0,4.334623848935228,004-006,3.1770565632085885,4.0,1.0,5,293,0.0,0.0,0.7414965986394557,7.414965986394558,1.099074637151173,0.8611019676202439,0.000300187617260788,0.300187617260788
COc1cccc2nc(-c3c(F)ccc(OCCF)c3Cl)c(Nc3ccc4c(c3)OCCO4)n12,5,2.0,1.3938218257736428,001-003,1.3938218257736428,2.0,1.0,3,154,0.0,0.0,0.7700534759358288,7.7005347593582885,1.159881752394678,0.8775269089525568,0.000300187617260788,0.300187617260788
COc1ccc(-c2nc(C)c3c(S(C)(=O)=O)cn(-c4cccc(OCC(=O)N(C)C)c4)c3n2)cc1F,69,4.0,7.293793942557473,006-008,4.896993194948651,3.0,1.0,18,1763,0.0,0.0,0.5785714285714285,5.785714285714285,0.7834887688982262,0.7606388292556648,0.000150093808630394,0.150093808630394
CC(C)(C)OC(=O)N1CCN(Cc2c(O)c(Cl)cc3c2O/C(=C\c2c[nH]c4ccccc24)C3=O)CC1,7,4.0,1.529877236519022,001-003,1.529877236519022,3.0,1.0,4,224,0.0,0.0,0.6538461538461539,6.538461538461538,0.9229224801241107,0.8086075400626399,0.000225140712945591,0.225140712945591
